year,electricity usage Mkh
1960,11316
1961,11622
1962,14155
1963,16137
1964,17229
1965,18745
1966,20305
1967,22521
1968,25265
1969,30211
1970,32591
1971,35980
1972,40998
1973,42632
1974,43527
1975,40892
1976,41171
1977,46831
1978,51105
1979,50383
1980,57178
1981,57621
1982,60733
1983,60326
1984,68363
1985,71740
1986,72392
1987,74369
1988,77255
1989,79620
1990,82548
1991,84088
1992,81934
1993,87686
1994,89793
1995,92831
1996,99656
1997,101094
1998,110434
1999,108591
2000,116895
2001,117343
2002,121435
2003,121355
2004,120330
2005,126562
2006,126843
2007,124921
2008,128240
2009,129815
2010,137161
2011,145654
2012,137412
2013,140273
2014,140900
2015,145652
2016,145973
2017,144242
2018,157268
2019,155481
2020,156415
2021,155075
