Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost%,Load Served%,Load Transferred%,Grid Load%,Grid Exported,Grid Imported,Bill Before,Bill After,Impact Endurance,Sustained Access,Load Assurance,Peak Assurance,ES1,PV1,DG1,ES2,PV2,DG2
Baseline,,9195222.4,4209399.774,43617189.98,0.360404245,0.407448084,93833.3012,0.727442017,1439002.86,2708094.234,519953.1995,491789.1981,0.579516875,0.569418175,0.366703276,0.432997317,1800,2759,0,1500,1190,0.481637307
Trans,0,,,,,,,,,,,,,,,,,,,,,
Trans,0.1,,,,,,,,,,,,,,,,,,,,,
Trans,0.2,,,,,,,,,,,,,,,,,,,,,
Trans,0.3,,,,,,,,,,,,,,,,,,,,,
Trans,0.4,,,,,,,,,,,,,,,,,,,,,
Trans,0.5,,,,,,,,,,,,,,,,,,,,,
Trans,0.6,,,,,,,,,,,,,,,,,,,,,
Trans,0.7,,,,,,,,,,,,,,,,,,,,,
Trans,0.8,,,,,,,,,,,,,,,,,,,,,
Trans,0.9,,,,,,,,,,,,,,,,,,,,,
Trans,1,,,,,,,,,,,,,,,,,,,,,
Year,1,,,,,,,,,,,,,,,,,,,,,
Year,2,,,,,,,,,,,,,,,,,,,,,
Year,3,,,,,,,,,,,,,,,,,,,,,
Year,4,,,,,,,,,,,,,,,,,,,,,
Year,5,,,,,,,,,,,,,,,,,,,,,
Year,6,,,,,,,,,,,,,,,,,,,,,
Year,7,,,,,,,,,,,,,,,,,,,,,
Year,8,,,,,,,,,,,,,,,,,,,,,
Year,9,,,,,,,,,,,,,,,,,,,,,
Year,10,,,,,,,,,,,,,,,,,,,,,
Year,11,,,,,,,,,,,,,,,,,,,,,
Year,12,,,,,,,,,,,,,,,,,,,,,
Year,13,,,,,,,,,,,,,,,,,,,,,
Year,14,,,,,,,,,,,,,,,,,,,,,
Year,15,,,,,,,,,,,,,,,,,,,,,
Year,16,,,,,,,,,,,,,,,,,,,,,
Year,17,,,,,,,,,,,,,,,,,,,,,
Year,18,,,,,,,,,,,,,,,,,,,,,
Year,19,,,,,,,,,,,,,,,,,,,,,
Year,20,,,,,,,,,,,,,,,,,,,,,
Eprice,0.5,,,,,,,,,,,,,,,,,,,,,
Eprice,0.6,,,,,,,,,,,,,,,,,,,,,
Eprice,0.7,,,,,,,,,,,,,,,,,,,,,
Eprice,0.8,,,,,,,,,,,,,,,,,,,,,
Eprice,0.9,,,,,,,,,,,,,,,,,,,,,
Eprice,1,,,,,,,,,,,,,,,,,,,,,
PVprice,0.6,,,,,,,,,,,,,,,,,,,,,
PVprice,0.8,,,,,,,,,,,,,,,,,,,,,
PVprice,1,,,,,,,,,,,,,,,,,,,,,
PVprice,1.2,,,,,,,,,,,,,,,,,,,,,
PVprice,1.4,,,,,,,,,,,,,,,,,,,,,
