Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost,Load Served,Load Transferred,Grid Load,Grid Exported,Grid Imported,Bill Before,Bill After,Robustness,Redundancy,Resourcefulness,ES1,PV1,DG1,ES2,PV2,DG2,Bill Saving
Budget,1,231380,52214.23915,9827074.991,0.757365587,0.064494225,0.062900768,0.789928384,3.353997896,2035659.704,357610.5439,343086.9068,0.478279441,0.058044802,0.105644626,300,40,0,150,0,0,0.040613
Budget,0.75,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Budget,0.5,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Budget,0.25,,,,,,,,,,,,,,,,,,,,,#DIV/0!
VoLL,0.5,,,,,,,,,,,,,,,,,,,,,#DIV/0!
VoLL,1,231380,52214.23915,9827074.991,0.757365587,0.064494225,0.062900768,0.789928384,3.353997896,2035659.704,357610.5439,343086.9068,0.478279441,0.058044802,0.105644626,300,40,0,150,0,0,0.040613
VoLL,5,,,,,,,,,,,,,,,,,,,,,#DIV/0!
VoLL,10,,,,,,,,,,,,,,,,,,,,,#DIV/0!
VoLL,20,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Trans,0.05,231380,51750,13773602.04,0.90345552,0.066112281,0.006586163,0.790036236,3.353997896,2035987.859,357610.5439,343096.0952,0.063480976,0.059501053,0.105629855,300,40,0,150,0,0,0.040587306
Trans,0.1,231380,51794.99293,12651165.91,0.869627366,0.062711478,0.023773706,0.789872439,3.353997896,2035573.844,357610.5439,343084.5028,0.041070042,0.05644033,0.10563047,300,40,0,150,0,0,0.040619723
Trans,0.15,231380,51927.4678,11605319.89,0.831701701,0.063882365,0.036984956,0.789934985,3.353997896,2035685.281,357610.5439,343087.623,0.082597076,0.057494128,0.105634988,300,40,0,150,0,0,0.040610997
Trans,0.2,231380,52072.60467,10656843.09,0.79551789,0.063090346,0.052393042,0.789884275,3.353997896,2035550.708,357610.5439,343083.8549,0.083491799,0.056781311,0.105640032,300,40,0,150,0,0,0.040621534
Trans,0.25,231380,52214.23915,9827074.991,0.757365587,0.064494225,0.062900768,0.789928384,3.353997896,2035659.704,357610.5439,343086.9068,0.478279441,0.058044802,0.105644626,300,40,0,150,0,0,0.040613
Trans,0.3,231380,52293.19099,9090823.703,0.720347661,0.064641573,0.067645128,0.789999323,3.353997896,2035691.135,357610.5439,343087.7869,0.521660375,0.058177416,0.10564451,300,40,0,150,0,0,0.040610539
Trans,0.35,231380,52259.24191,8432518.258,0.685324412,0.062601541,0.097752947,0.790105459,3.353997896,2035634.007,357610.5439,343086.1873,0.499217626,0.056341387,0.105639707,300,40,0,150,0,0,0.040615012
Trans,0.4,231380,52338.9187,7732483.767,0.673674915,0.034541339,0.129076717,0.941433579,3.353997896,2409923.053,357610.5439,353566.2806,0.47332372,0.031087205,0.105636823,300,40,0,150,0,0,0.011309128
Trans,0.45,231380,57385.64634,7099764.104,0.636274784,0.035101374,0.15686687,0.94049708,3.353997896,2407513.719,357610.5439,353498.8192,0.495967976,0.031591236,0.10750831,300,40,0,164,0,0,0.011497773
Trans,0.5,231380,68343.64093,6533034.201,0.598313816,0.036407093,0.17248066,0.938324522,3.353997896,2401865.361,357610.5439,353340.6652,0.495397428,0.032766384,0.11192807,300,40,0,196,0,0,0.011940025
Trans,0.55,231380,71004.71327,6014643.302,0.561310292,0.036634732,0.173234055,0.937954003,3.353997896,2400923.684,357610.5439,353314.2983,0.502973869,0.032971259,0.114366147,300,40,0,206,0,0,0.012013755
Trans,0.6,231380,67614.95806,5535685.886,0.529039617,0.036183285,0.15547255,0.938969608,3.353997896,2403632.915,357610.5439,353390.1568,0.494788663,0.032564956,0.112785787,300,40,0,196,0,0,0.011801629
Trans,0.65,231380,56504.52832,5085002.361,0.508192139,0.026459577,0.207158669,0.941661893,3.353997896,2410769.413,357610.5439,353589.9787,0.471440267,0.023813619,0.079756339,300,40,0,164,0,0,0.01124286
Trans,0.7,231380,51814.26086,4661772.579,0.496483881,0.019530906,0.229969564,0.943169235,3.353997896,2414757.626,357610.5439,353701.6486,0.427934288,0.017577815,0.056206684,300,40,0,150,0,0,0.010930593
Trans,0.75,231380,51750,4257342.465,0.455342955,0.019407589,0.226191708,0.943569992,3.353997896,2415835.032,357610.5439,353731.816,0.487595877,0.01746683,0.055756786,300,40,0,150,0,0,0.010846235
Trans,0.8,231380,51750,3868687.351,0.40719316,0.017784421,0.229092119,0.9458215,3.353997896,2421028.865,357610.5439,353877.2433,0.489949414,0.016005979,0.055712853,300,40,0,150,0,0,0.010439571
Trans,0.85,231380,51750,3489288.851,0.404747167,0.017718997,0.210383992,0.943177199,3.353997896,2414087.68,357610.5439,353682.8902,0.445457847,0.015947097,0.055771632,300,40,0,150,0,0,0.010983048
Trans,0.9,231380,51750,3117369.434,0.437826367,0.01783584,0.227462925,0.943254519,3.353997896,2414302.399,357610.5439,353688.9023,0.47492731,0.016052256,0.055818639,300,40,0,150,0,0,0.010966236
Trans,0.95,231380,51666.75432,2753836.269,0.405050518,0.024323605,0.208968523,0.943515268,3.353997908,2414927.049,357610.5439,353706.3925,0.487093214,0.021891244,0.077555211,300,40,0,150,0,0,0.010917327
Trans,1,0,0,2802111.379,0.999699824,0,0,1,0,2554361.028,357610.5439,357610.5439,0,0,0,0,0,0,0,0,0,0
Year,1,231380,52034.47059,3623191.94,0.643846497,0.190726793,0.016099969,0.473164409,42.98101722,493751.1656,146161.7888,130754.4637,0.467799886,0.171654114,0.272470388,300,40,0,150,0,0,0.105412812
Year,2,231380,52101.68175,4247281.428,0.658980597,0.173908245,0.033787651,0.515163827,17.73859625,582623.8021,158279.5497,142937.1062,0.53333942,0.156517421,0.249618223,300,40,0,150,0,0,0.09693257
Year,3,231380,51749.98512,4899230.394,0.673287248,0.158004045,0.026611999,0.557427007,14.91987278,687011.5914,172322.2432,157094.1191,0.511855711,0.142203641,0.227482702,300,40,0,150,0,0,0.088370043
Year,4,231380,51750,5574417.325,0.697993526,0.130519475,0.042019148,0.597232167,13.15734129,806453.3423,188597.0157,173458.3061,0.487702603,0.117467527,0.206361628,300,40,0,150,0,0,0.080270144
Year,5,231380,51751.36571,6268236.721,0.70606709,0.121528541,0.023250465,0.63568867,11.43851969,945328.9065,207460.1134,192437.3001,0.453469601,0.109375687,0.186347672,300,40,0,150,0,0,0.07241302
Year,6,231380,51773.695,6974870.099,0.722895123,0.102827849,0.018728824,0.6713357,9.747840515,1104836.537,229324.7456,214395.2196,0.482641651,0.092545064,0.167555101,300,40,0,150,0,0,0.065102115
Year,7,231380,51835.58617,7688977.97,0.733079328,0.091519166,0.03574328,0.704809356,8.089486422,1289580.384,254670.2103,239844.419,0.468783563,0.082367249,0.150062519,300,40,0,150,0,0,0.058215648
Year,8,231380,51987.5873,8404991.512,0.737694926,0.086367215,0.032920998,0.735972491,6.510387116,1503560.057,284052.4864,269341.6707,0.461286524,0.077730494,0.133914705,300,40,0,150,0,0,0.051789076
Year,9,231380,52069.14245,9123772.987,0.749763439,0.072943105,0.044462606,0.764140431,4.932050735,1750083.715,318116.5291,303495.5673,0.48975274,0.065648795,0.119112646,300,40,0,150,0,0,0.045961025
Year,10,231380,52340.12799,10483457.88,0.764695429,0.056336314,0.066803773,0.813241332,1.775628131,2366106.369,403402.5601,388973.0264,0.471407471,0.050702683,0.093468122,300,40,0,150,0,0,0.035769564
Year,11,231380,52340.12799,10483457.88,0.764695429,0.056336314,0.066803773,0.813241332,1.775628131,2366106.369,403402.5601,388973.0264,0.471407471,0.050702683,0.093468122,300,40,0,150,0,0,0.035769564
Year,12,231380,51745.09348,11057989.35,0.769646634,0.050841151,0.073336509,0.834393808,0.702775961,2749054.597,456499.6766,442173.27,0.460143848,0.045757035,0.082503521,300,40,0,150,0,0,0.031383169
Year,13,231380,53856.4291,11507782.71,0.77769688,0.041948259,0.072966867,0.851946533,0.008971883,3187194.642,518070.4155,503697.7823,0.459865109,0.037753434,0.073292835,300,40,0,156,0,0,0.027742625
Year,14,231380,70663.84037,11757345.45,0.780565796,0.038756385,0.09087373,0.860797208,0.008551996,3665402.077,589470.6895,574207.8097,0.44428957,0.034880747,0.068517814,300,40,0,205,0,0,0.025892517
Year,15,231380,92364.58239,11728967.58,0.782498104,0.03660063,0.090955001,0.867715898,0.001616141,4214818.133,672273.9747,655834.0875,0.45964627,0.032940567,0.064780875,300,40,0,268,0,0,0.024454148
Year,16,231380,117199.2797,11334163.15,0.783369254,0.035623092,0.091255439,0.876459328,0,4851616.635,768306.3777,750490.368,0.440232742,0.032060782,0.061137645,300,40,0,340,0,0,0.023188679
Year,17,231380,142753.6555,10463825.59,0.787466872,0.031106835,0.100113292,0.882968051,0,5596690.61,879687.4046,860457.2608,0.456382877,0.027996152,0.057639983,300,40,0,414,0,0,0.021860201
Year,18,231380,147469.006,8987629.637,0.799261262,0.026505126,0.089304975,0.895606181,0,6512571.041,1008877.372,989453.8865,0.412649927,0.023854613,0.051087666,300,40,0,427,0,0,0.019252573
Year,19,231380,133645.2076,6700352.419,0.806561611,0.020505377,0.091960675,0.911351221,0,7614655.28,1158732.564,1140196.399,0.375643806,0.018454839,0.03068939,300,40,0,387,0,0,0.015996931
Year,20,231380,0,3214524.201,0.897434683,0.00851334,0.003365632,0.970379734,0,9292963.618,1332569.431,1326258.526,0.245522372,0.007662006,0.013799815,300,40,0,0,0,0,0.004735892
Eprice,0.5,187565,91740.27503,10403209.12,0.78831716,0.030040033,0.0527675,0.949989046,0,2428757.582,357610.5439,348818.3027,0.477309041,0.02703603,0.090063505,173,40,0,266,0,0,0.024586079
Eprice,0.6,231380,49636.26361,10259560.4,0.784464798,0.034344066,0.066924859,0.942477776,21.85072096,2411151.641,357610.5439,349590.8182,0.444917086,0.03090966,0.104871987,300,40,0,144,0,0,0.022425865
Eprice,0.7,231380,50977.38549,10159748.66,0.784392494,0.034453492,0.055733348,0.942004868,0.00185787,2410666.299,357610.5439,351575.3653,0.474216316,0.031008143,0.105300932,300,40,0,147,0,0,0.0168764
Eprice,0.8,231380,52214.23915,9827074.991,0.757365587,0.064494225,0.062900768,0.789928384,3.353997896,2035659.704,357610.5439,343086.9068,0.478279441,0.058044802,0.105644626,300,40,0,150,0,0,0.040613
Eprice,0.9,231380,53657.00798,9471063.528,0.756269104,0.065732703,0.060219839,0.789865647,3.353997896,2035412.769,357610.5439,350345.2683,0.441534762,0.059159433,0.105722947,300,40,0,150,1,0,0.020316167
Eprice,1,231380,60458.72239,9114330.032,0.755760369,0.066269776,0.053376352,0.789161947,3.353997896,2033572.027,357610.5439,357610.5439,0.471218196,0.059642799,0.106116799,300,40,0,152,2,0,0
PVprice,0.6,180228,57672.43372,9825960.672,0.754060503,0.06815885,0.070338648,0.789196252,3.353997896,2033651.219,357610.5439,343030.6693,0.475299571,0.061342965,0.106150999,300,40,0,152,3,0,0.040770259
PVprice,0.8,205804,53465.15781,9826942.85,0.755173669,0.066930949,0.053320544,0.789883227,3.353997896,2035506.622,357610.5439,343082.6205,0.473243218,0.060237854,0.10573228,300,40,0,151,1,0,0.040624986
PVprice,1,231380,52340.12799,10483457.88,0.764695429,0.056336314,0.066803773,0.813241332,1.775628131,2366106.369,403402.5601,388973.0264,0.471407471,0.050702683,0.093468122,300,40,0,150,0,0,0.035769564
PVprice,1.2,256956,51779.76661,9827119.427,0.758860367,0.062843912,0.063833012,0.789871266,3.353997896,2035541.363,357610.5439,343083.5933,0.471407471,0.056559521,0.105632851,300,40,0,150,0,0,0.040622266
PVprice,1.4,282532,51779.76661,9827119.427,0.7600091,0.061557831,0.057203082,0.789814032,3.353997896,2035387.244,357610.5439,343079.278,0.472353228,0.055402048,0.105632851,300,40,0,150,0,0,0.040634333
