,18164,62936,22469,21467,39160,,
Settings,L1,L2,L3,L4,L5,,
Budget = 1,"(300, 114, 0)",,,,,,
,"(109, 0, 0)",,"(13, 6, 0)","(56, 24, 0)","(4.5, 4, 0)",,
Budget  = 0.75,,,"(300, 141, 0)",,,,
,"(119, 46, 0)","(99, 131, 0)","(109, 0,0)","(15, 6, 0)","(17, 14, 0)",,
Budget  = 0.5,"(300, 114, 0)",,"(300, 141, 0)","(300, 133,0)","(300, 246,0)",,
,"(109,0,0)","(199, 263, 0)","(109, 0, 0)","(109, 0,0)","(109, 0,0)",,
Budget = 0.25,"(300, 114, 0)","(300, 396)","(300, 141, 0)","(300, 133, 0","(300, 246,0)",,
,"(109,0,0)","(109,0,0)","(109,0,0)","(109,0,0)","(109,0,0)",,
VoLL = 1,"(300, 114, 0)",,,,,,
,"(109, 0, 0)",,"(13, 6, 0)","(56, 24, 0)","(4.5, 4, 0)",,
VoLL = 5,"(300, 114, 0)",,,,,,
,"(109,0,0)","(6,7,0)","(66, 31, 0)","(199, 88,0)","(15, 12,0)",,
VoLL = 10,"(300, 114, 0)",,"(300, 141, 0)","(300, 133,0)",,,
,"(109,0,1)","(9,12,1)","(109, 0,1)","(109, 0, 0)","(41, 33, 0)",,
VoLL = 20,"(300, 114, 0)",,"(300, 141, 0)","(300, 133,0)",,,
,"(109,0,1)","(24, 33, 1)","(109, 0,1)","(109, 0, 1)","(139, 113, 1)",,
TransMax = 0.25,"(300, 114, 0)",,,,,,
,"(109, 0, 0)",,"(13, 6, 0)","(56, 24, 0)","(4.5, 4, 0)",,
TransMax = 0.5,,,,"(236, 133,0)",,,
,"(42, 16, 0)","(1, 1, 0)","(12, 6, 0)","(155, 0, 0)","(5, 4, 0)",,
TransMax = 0.75,"(276, 114, 0)",,,,,,
,"(126, 0, 0)",,"(6, 2, 0)","(18, 8, 0)","(3, 2, 0)",,
TransMax = 1,,,,,,,
Year,5,,,,,,
,,"(86, 0, 0)","(79, 105, 0)","(12, 6, 0)","(4, 2, 0)","(5, 4, 0)",
,10,"(300, 114, 0)",,,,,
,,"(109, 0, 0)",,"(13, 6, 0)","(56, 24, 0)","(4.5, 4, 0)",
,15,"(300, 114, 0)",,,,,
,,"(109, 0, 0 )",,"(62,0,0)","(122, 0,0)","(14, 0, 0)",
,20,,,,,,
