Settings,Value,Investment,Reinvestment,Avg Recourse,Load Lost,Load Served,Load Transferred,Grid Load,Grid Exported,Grid Imported,Bill Before,Bill After,Robustness,Redundancy,Resourcefulness,ES1,PV1,DG1,ES2,PV2,DG2,Run Time,Gap %
Budget,1,0,178939.7261,14104618.7,0.066581274,0.026401384,0,0.907017342,0,1965544.328,281933.5135,280582.0519,0.553548662,0.005314456,0.005860225,0,0,0,48,51,0,139.25,0
Budget,0.75,,,,,,,,,,,,,,,,,,,,,,
Budget,0.5,,,,,,,,,,,,,,,,,,,,,,
Budget,0.25,,,,,,,,,,,,,,,,,,,,,,
VoLL,1,0,178939.7261,14104618.7,0.066581274,0.026401384,0,0.907017342,0,1965544.328,281933.5135,280582.0519,0.553548662,0.005314456,0.005860225,0,0,0,48,51,0,139.25,0
VoLL,5,,,,,,,,,,,,,,,,,,,,,,
VoLL,10,,,,,,,,,,,,,,,,,,,,,,
VoLL,20,,,,,,,,,,,,,,,,,,,,,,
Year,5,,,,,,,,,,,,,,,,,,,,,,
Year,10,0,178939.7261,14104618.7,0.066581274,0.026401384,0,0.907017342,0,1965544.328,281933.5135,280582.0519,0.553548662,0.005314456,0.005860225,0,0,0,48,51,0,139.25,0
Year,15,,,,,,,,,,,,,,,,,,,,,,
